Model;Link;Price usd($);Price UAH;City
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1845330.html;26 065 $;705 000 грн;Винница
Ford Puma 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1860184.html;25 084 $;678 482 грн;Черкассы
Ford Puma 2020ST-Line Plus 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1860163.html;28 992 $;784 187 грн;Черкассы
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1860252.html;20 937 $;566 294 грн;Черкассы
Ford Transit Custom 2020Trend DC F320 2.0D MT (130 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1811915.html;36 897 $;998 000 грн;Винница
Ford Kuga 2020ST-Line 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1861013.html;40 795 $;1 103 429 грн;Полтава
Ford Kuga 2020Titanium 	1.5 EcoBlue AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1861009.html;30 258 $;818 416 грн;Полтава
Ford EcoSport 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1855832.html;22 737 $;615 000 грн;Днепр (Днепропетровск)
Ford Focus 2020Trend Edition 1.0 Ecoboost АT8 (125 л.с.);https://auto.ria.com/newauto/auto-ford-focus-1845906.html;22 959 $;621 000 грн;Львов
Ford Tourneo Connect пасс. 2021Trend  1.5D MT (120 л.с.) (7s) L2;https://auto.ria.com/newauto/auto-ford-tourneo-connect-pass-1778736.html;33 163 $;897 000 грн;Винница
Ford Puma 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1857461.html;25 325 $;685 000 грн;Днепр (Днепропетровск)
Ford Transit Custom 2020Trend DC F320 2.0D MT (130 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1810136.html;36 897 $;998 000 грн;Винница
Ford Kuga 2020ST-Line 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1862722.html;41 075 $;1 111 000 грн;Днепр (Днепропетровск)
Ford Tourneo Connect пасс. 2021Trend  1.5D MT (100 л.с.) L1;https://auto.ria.com/newauto/auto-ford-tourneo-connect-pass-1794251.html;30 612 $;828 000 грн;Винница
Ford Transit Custom 2020Amb Plus F340 2.0D MT (130 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-transit-custom-1810174.html;35 049 $;948 000 грн;Винница
Ford Kuga 2020Titanium 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1856220.html;36 620 $;990 499 грн;Харьков
Ford Transit груз. 20202.0 TDCi MT 350 (130 л.с.) L3 FWD;https://auto.ria.com/newauto/auto-ford-transit-gruz-1841069.html;43 209 $;1 168 711 грн;Винница
Ford Kuga 2020Titanium 	1.5 EcoBlue AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1861271.html;30 671 $;829 594 грн;Николаев
Ford Transit пасс. 2021Individual Minibus R460 L4H3 (130 л.с.);https://auto.ria.com/newauto/auto-ford-transit-pass-1816151.html;53 239 $;1 440 000 грн;Винница
Ford Galaxy 2021Individual 2.0D AT (180 л.с.);https://auto.ria.com/newauto/auto-ford-galaxy-1857073.html;52 981 $;1 433 025 грн;Киев
Ford Kuga 2020ST-Line 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1860820.html;42 517 $;1 150 000 грн;Львов
Ford Transit пасс. 2021Trend Minibus R460 L4H3 (130 л.с.);https://auto.ria.com/newauto/auto-ford-transit-pass-1816149.html;53 239 $;1 440 000 грн;Винница
Ford Kuga 2020Lux 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1822159.html;39 744 $;1 075 000 грн;Львов
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1863485.html;25 510 $;690 000 грн;Днепр (Днепропетровск)
Ford Kuga 2021Titanium 1.5 EcoBoost AT (182 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1863725.html;31 605 $;854 842 грн;Черкассы
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1863385.html;27 913 $;755 000 грн;Днепр (Днепропетровск)
Ford Kuga 2020Lux 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1852905.html;40 262 $;1 089 000 грн;Тернополь
Ford Transit груз. 2020Trend 2.0D MT F350 (130 л.с.) L3H3;https://auto.ria.com/newauto/auto-ford-transit-gruz-1843257.html;38 437 $;1 039 651 грн;Тернополь
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1847234.html;26 804 $;725 000 грн;Днепр (Днепропетровск)
Ford Kuga 2021Titanium 1.5 EcoBoost AT (182 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1863574.html;32 017 $;866 000 грн;Днепр (Днепропетровск)
Ford Kuga 2021Titanium 1.5 EcoBoost AT (182 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1863723.html;32 235 $;871 885 грн;Черкассы
Ford Kuga 2021Titanium 1.5 EcoBoost AT (182 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1863715.html;32 033 $;866 442 грн;Черкассы
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1845350.html;27 433 $;742 000 грн;Днепр (Днепропетровск)
Ford Focus 2021Individual ST 2.3 EcoBoost MT (280 л.с.);https://auto.ria.com/newauto/auto-ford-focus-1860387.html;43 293 $;1 171 000 грн;Ивано-Франковск
Ford Ranger 2021Raptor 2.0 EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1853263.html;73 673 $;1 992 701 грн;Николаев
