Model;Link;Price usd($);Price UAH;City
Mercedes-Benz A-Class 2021base 200 AT (163 л.с.);https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1864400.html;48 316 $;1 306 852 грн;Киев
Mercedes-Benz V-Class 2020Individual 300d AT (239 л.с.) 4Matic Extra Long;https://auto.ria.com/newauto/auto-mercedes-benz-v-class-1853009.html;109 993 $;2 975 087 грн;Львов
Mercedes-Benz Maybach 2021GLS 600 AT (558 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-maybach-1855151.html;208 391 $;5 636 565 грн;Львов
Mercedes-Benz S-Class 2020500 9G-Tronic (435 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1864101.html;199 538 $;5 397 090 грн;Одесса
Mercedes-Benz GLE-Class 2021Coupe 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1840109.html;105 960 $;2 866 018 грн;Киев
Mercedes-Benz E-Class 2021220d 9G-Tronic (194 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1858014.html;81 873 $;2 214 501 грн;Киев
Mercedes-Benz E-Class 2021Individual 220d 9G-Tronic (194 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1857582.html;77 563 $;2 097 917 грн;Днепр (Днепропетровск)
Mercedes-Benz Sprinter груз. 2021base Long 516 2.2 CDi MT 2WD;https://auto.ria.com/newauto/auto-mercedes-benz-sprinter-gruz-1863228.html;47 094 $;1 273 800 грн;Львов
Mercedes-Benz G-Class 2021Base Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1849340.html;311 997 $;8 438 893 грн;Киев
Mercedes-Benz G-Class 2021Base Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1836189.html;256 400 $;6 935 108 грн;Киев
Mercedes-Benz S-Class 2021350d 9G-Tronic (286 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1847714.html;116 598 $;3 153 738 грн;Львов
Mercedes-Benz G-Class 2020Base Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1847281.html;270 790 $;7 324 318 грн;Киев
Mercedes-Benz G-Class 2021Base Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1858609.html;470 939 $;12 737 968 грн;Киев
