Model;Link;Price usd($);Price UAH;City
Mazda 6 2021Top+ 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1859461.html;40 528 $;1 096 200 грн;Винница
Mazda 6 2021Touring 2.0 AТ (165 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1855969.html;27 322 $;739 000 грн;Винница
Mazda 6 2021Black Edition 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1859979.html;40 424 $;1 093 400 грн;Винница
Mazda CX-5 2021Black Edition 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1862912.html;30 626 $;826 900 грн;Полтава
Mazda CX-5 2021Touring Black Edition 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1855672.html;33 208 $;898 200 грн;Винница
Mazda CX-3 2021Touring + 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1855671.html;25 015 $;676 600 грн;Винница
Mazda 6 2021Black Edition 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1859509.html;39 330 $;1 063 800 грн;Одесса
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1837041.html;29 056 $;785 900 грн;Харьков
Mazda CX-5 2021Touring 2.0 AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1859642.html;29 108 $;785 900 грн;Полтава
Mazda 6 2021Top+ 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1850975.html;40 528 $;1 096 200 грн;Одесса
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1837044.html;31 692 $;857 200 грн;Харьков
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1837045.html;31 692 $;857 200 грн;Харьков
Mazda CX-5 2021Touring S 2.5 SkyActiv-G AT (194 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-5-1863166.html;31 275 $;844 400 грн;Полтава
Mazda CX-5 2021Black Edition 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1861642.html;30 572 $;826 900 грн;Ивано-Франковск
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1837046.html;31 692 $;857 200 грн;Харьков
Mazda CX-5 2021Style+ 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1840881.html;38 243 $;1 034 400 грн;Харьков
Mazda CX-30 2021Executive 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1859881.html;30 017 $;811 900 грн;Одесса
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1846278.html;29 056 $;785 900 грн;Ивано-Франковск
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1862748.html;27 969 $;756 500 грн;Днепр (Днепропетровск)
Mazda CX-9 2021Style 2.5 АТ (231 л.с.) AWD;https://auto.ria.com/newauto/auto-mazda-cx-9-1860221.html;43 253 $;1 169 900 грн;Одесса
Mazda CX-5 2021Black Edition 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1852377.html;30 949 $;837 100 грн;Харьков
Mazda CX-5 2021Black Edition 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1852440.html;30 949 $;837 100 грн;Харьков
Mazda CX-30 2021Executive 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1857732.html;30 017 $;811 900 грн;Киев
Mazda MX-5 2021Top 2.0 SkyActiv-G MT (184 л.с.);https://auto.ria.com/newauto/auto-mazda-mx-5-1860131.html;35 925 $;971 700 грн;Одесса
Mazda CX-30 2021Premium 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1857730.html;33 326 $;901 400 грн;Киев
Mazda CX-30 2021Executive 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1852126.html;30 017 $;811 900 грн;Харьков
Mazda CX-5 2021Touring Black Edition 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1852415.html;33 533 $;907 000 грн;Харьков
